species	units	type	ref	int	slope	quad	min.len	max.len	measure	method	comment	source
"Northern Pike"	metric	linear	75	-5.437	3.096	NA	100	NA	TL	RLP	"none"	"D. W. Willis"
"Northern Pike x Muskellunge"	English	linear	75	-4.095	3.337	NA	9.5	NA	TL	RLP	"none"	"Rogers and Koupal, 1997"
"Northern Pike x Muskellunge"	metric	linear	75	-6.126	3.337	NA	240	NA	TL	RLP	"none"	"Rogers and Koupal, 1997"
"Northern Squawfish"	English	linear	75	-3.328	2.986	NA	10	NA	FL	RLP	"fork length"	"Parker et al., 1995"
"Northern Squawfish"	metric	linear	75	-4.886	2.986	NA	250	NA	FL	RLP	"fork length"	"Parker et al., 1995"
"Paddlefish (female)"	English	linear	75	-2.822	2.782	NA	11	NA	BL	RLP	"body length"	"Brown and Murphy, 1993"
"Paddlefish (female)"	metric	linear	75	-4.073	2.782	NA	280	NA	BL	RLP	"body length"	"Brown and Murphy, 1993"
"Paddlefish (male)"	English	linear	75	-3.063	2.91	NA	11	NA	BL	RLP	"body length"	"Brown and Murphy, 1993"
"Paddlefish (male)"	metric	linear	75	-4.494	2.91	NA	280	NA	BL	RLP	"body length"	"Brown and Murphy, 1993"
"Paddlefish (overall)"	English	linear	75	-3.34	3.092	NA	11	NA	BL	RLP	"body length"	"Brown and Murphy, 1993"
"Paddlefish (overall)"	metric	linear	75	-5.027	3.092	NA	280	NA	BL	RLP	"body length"	"Brown and Murphy, 1993"
"Pejerrey"	English	linear	75	-3.651	3.097	NA	10	NA	TL	RLP	"none"	"Baigun and Anderson, 1993"
"Pejerrey"	metric	linear	75	-5.345	3.097	NA	250	NA	TL	RLP	"none"	"Baigun and Anderson, 1993"
"Pumpkinseed"	English	linear	75	-3.289	3.237	NA	2	NA	TL	RLP	"none"	"Liao et al., 1995"
"Pumpkinseed"	metric	linear	75	-5.179	3.237	NA	50	NA	TL	RLP	"none"	"Liao et al., 1995"
"Pursak chub"	metric	quadratic	75	-4.657	2.614	0.127	80	240	TL	EmP	"none"	"Sulun et al. 2014"
"Rainbow Trout (lentic)"	English	linear	75	-3.354	2.99	NA	4.75	NA	TL	RLP	"none"	"Simpkins and Hubert, 1996"
"Rainbow Trout (lentic)"	metric	linear	75	-4.898	2.99	NA	120	NA	TL	RLP	"none"	"Simpkins and Hubert, 1996"
"Rainbow Trout (lotic)"	English	linear	75	-3.432	3.024	NA	4.75	NA	TL	RLP	"none"	"Simpkins and Hubert, 1996"
"Rainbow Trout (lotic)"	metric	linear	75	-5.023	3.024	NA	120	NA	TL	RLP	"none"	"Simpkins and Hubert, 1996"
"Razorback Sucker"	English	linear	75	-3.35	2.985	NA	4.25	NA	TL	RLP	"was not in Blackwell et al. (2000)"	"Didenko et al, 2004"
"Razorback Sucker"	metric	linear	75	-4.886	2.985	NA	110	NA	TL	RLP	"was not in Blackwell et al. (2000)"	"Didenko et al, 2004"
"Redear Sunfish"	English	linear	75	-3.263	3.119	NA	2.75	NA	TL	RLP	"none"	"Pope et al., 1995"
"Redear Sunfish"	metric	linear	75	-4.968	3.119	NA	70	NA	TL	RLP	"none"	"Pope et al., 1995"
"River Carpsucker"	English	linear	75	-3.293	2.992	NA	5	NA	TL	RLP	"none"	"Bister et al., 2000"
"River Carpsucker"	metric	linear	75	-4.839	2.992	NA	130	NA	TL	RLP	"none"	"Bister et al., 2000"
"River Goby"	metric	quadratic	25	-4.745	2.452	0.188	30	250	TL	EmP	"was not in Blackwell et al. (2000)"	"Cooney and Kwak, 2010"
"River Goby"	metric	quadratic	50	-3.866	1.667	0.367	30	250	TL	EmP	"was not in Blackwell et al. (2000)"	"Cooney and Kwak, 2010"
"River Goby"	metric	quadratic	75	-3.198	1.071	0.507	30	250	TL	EmP	"was not in Blackwell et al. (2000)"	"Cooney and Kwak, 2010"
"Rock Bass"	English	linear	75	-3.166	3.074	NA	3	NA	TL	RLP	"none"	"Bister et al., 2000"
"Rock Bass"	metric	linear	75	-4.827	3.074	NA	80	NA	TL	RLP	"none"	"Bister et al., 2000"
"Roundtail Chub"	English	linear	75	-3.486	3.015	NA	4	NA	TL	RLP	"was not in Blackwell et al. (2000)"	"Didenko et al, 2004"
"Roundtail Chub"	metric	linear	75	-5.065	3.015	NA	100	NA	TL	RLP	"was not in Blackwell et al. (2000)"	"Didenko et al, 2004"
"Ruffe"	metric	quadratic	50	-3.3524	1.3969	0.4054	55	205	TL	EmP	"was not in Blackwell et al. (2000)"	"Ogle and Winfield, 2009"
"Ruffe"	metric	quadratic	75	-2.58	0.621	0.6073	55	205	TL	EmP	"was not in Blackwell et al. (2000)"	"Ogle and Winfield, 2009"
"Sauger"	English	linear	75	-3.671	3.187	NA	2.75	NA	TL	RLP	"none"	"C. S. Guy"
"Sauger"	metric	linear	75	-5.492	3.187	NA	70	NA	TL	RLP	"none"	"C. S. Guy"
"Shorthead Redhorse"	English	linear	75	-3.337	2.962	NA	4	NA	TL	RLP	"none"	"Bister et al., 2000"
"Shorthead Redhorse"	metric	linear	75	-4.841	2.962	NA	100	NA	TL	RLP	"none"	"Bister et al., 2000"
"Shovelnose Sturgeon"	English	linear	75	-4.266	3.33	NA	4.75	NA	FL	RLP	"fork length"	"Quist et al., 1998"
"Shovelnose Sturgeon"	metric	linear	75	-6.287	3.33	NA	120	NA	FL	RLP	"fork length"	"Quist et al., 1998"
"Smallmouth Bass"	English	linear	75	-3.491	3.2	NA	6	NA	TL	RLP	"none"	"Kolander et al., 1993"
"Smallmouth Bass"	metric	linear	75	-5.329	3.2	NA	150	NA	TL	RLP	"none"	"Kolander et al., 1993"
"Smallmouth Buffalo"	English	linear	75	-3.448	3.208	NA	8	NA	TL	RLP	"none"	"Bister et al. 2000"
"Smallmouth Buffalo"	metric	linear	75	-5.298	3.208	NA	200	NA	TL	RLP	"none"	"Bister et al. 2000"
