species,units,type,ref,measure,method,min.len,max.len,int,slope,quad,source,comment
Northern Pikeminnow,metric,linear,75,FL,RLP,250,NA,-4.886,2.986,NA,Parker et al. (1995),fork length; same as Northern Squawfish
Northern Squawfish,English,linear,75,FL,RLP,10,NA,-3.328,2.986,NA,Parker et al. (1995),fork length; same as Northern Pikeminnow
Northern Squawfish,metric,linear,75,FL,RLP,250,NA,-4.886,2.986,NA,Parker et al. (1995),fork length; same as Northern Pikeminnow
Paddlefish (female),English,linear,75,BL,RLP,11,NA,-2.822,2.782,NA,Brown and Murphy (1993),body length
Paddlefish (female),metric,linear,75,BL,RLP,280,NA,-4.073,2.782,NA,Brown and Murphy (1993),body length
Paddlefish (male),English,linear,75,BL,RLP,11,NA,-3.063,2.91,NA,Brown and Murphy (1993),body length
Paddlefish (male),metric,linear,75,BL,RLP,280,NA,-4.494,2.91,NA,Brown and Murphy (1993),body length
Paddlefish (overall),English,linear,75,BL,RLP,11,NA,-3.34,3.092,NA,Brown and Murphy (1993),body length
Paddlefish (overall),metric,linear,75,BL,RLP,280,NA,-5.027,3.092,NA,Brown and Murphy (1993),body length
Palmetto Bass,English,linear,75,TL,RLP,4.5,NA,-3.448,3.139,NA,Brown and Murphy (1991b),same as Striped Bass (Hybrid) and Striped Bass x White Bass
Palmetto Bass,metric,linear,75,TL,RLP,115,NA,-5.201,3.139,NA,Brown and Murphy (1991b),same as Striped Bass (Hybrid) and Striped Bass x White Bass
Pejerrey,English,linear,75,TL,RLP,10,NA,-3.651,3.097,NA,Baigun and Anderson (1993),none
Pejerrey,metric,linear,75,TL,RLP,250,NA,-5.345,3.097,NA,Baigun and Anderson (1993),none
Pumpkinseed,English,linear,75,TL,RLP,2,NA,-3.289,3.237,NA,Liao et al. (1995),none
Pumpkinseed,metric,linear,75,TL,RLP,50,NA,-5.179,3.237,NA,Liao et al. (1995),none
Pursak Chub,metric,quadratic,75,TL,EmP,80,240,-4.657,2.614,0.127,Sulun et al. (2014),none
Rainbow Trout (lentic),English,linear,75,TL,RLP,4.75,NA,-3.354,2.99,NA,Simpkins and Hubert (1996),none
Rainbow Trout (lentic),metric,linear,75,TL,RLP,120,NA,-4.898,2.99,NA,Simpkins and Hubert (1996),none
Rainbow Trout (lotic),English,linear,75,TL,RLP,4.75,NA,-3.432,3.024,NA,Simpkins and Hubert (1996),none
Rainbow Trout (lotic),metric,linear,75,TL,RLP,120,NA,-5.023,3.024,NA,Simpkins and Hubert (1996),none
Razorback Sucker,English,linear,75,TL,RLP,4.25,NA,-3.35,2.985,NA,Didenko et al. (2004),none
Razorback Sucker,metric,linear,75,TL,RLP,110,NA,-4.886,2.985,NA,Didenko et al. (2004),none
Redear Sunfish,English,linear,75,TL,RLP,2.75,NA,-3.263,3.119,NA,Pope et al. (1995),none
Redear Sunfish,metric,linear,75,TL,RLP,70,NA,-4.968,3.119,NA,Pope et al. (1995),none
Riffle Dace,metric,quadratic,75,TL,EmP,60,NA,-3.706,1.685,0.349,Giannetto et al. (2011),only from Tiber River basin (Italy)
River Carpsucker,English,linear,75,TL,RLP,5,NA,-3.293,2.992,NA,Bister et al. (2000),none
River Carpsucker,metric,linear,75,TL,RLP,130,NA,-4.839,2.992,NA,Bister et al. (2000),none
River Goby,metric,quadratic,25,TL,EmP,30,250,-4.745,2.452,0.188,Cooney and Kwak (2010),none
River Goby,metric,quadratic,50,TL,EmP,30,250,-3.866,1.667,0.367,Cooney and Kwak (2010),none
River Goby,metric,quadratic,75,TL,EmP,30,250,-3.198,1.071,0.507,Cooney and Kwak (2010),none
Rock Bass,English,linear,75,TL,RLP,3,NA,-3.166,3.074,NA,Bister et al. (2000),none
Rock Bass,metric,linear,75,TL,RLP,80,NA,-4.827,3.074,NA,Bister et al. (2000),none
Roundtail Chub,English,linear,75,TL,RLP,4,NA,-3.486,3.015,NA,Didenko et al. (2004),none
